t,phase,cmd_v,cmd_w,applied_v,applied_w,wo_x,wo_y,wo_yaw,mb_x,mb_y,mb_yaw
0.3005,drive,0.0,-0.1,nan,nan,nan,nan,nan,-1.4815464082532799,1.486993680168847,-0.16293957893157823
0.3005,drive,0.0,-0.1,nan,nan,nan,nan,nan,-1.4815464082532799,1.486993680168847,-0.16293957893157823
0.4007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.4801224832196538,1.487693471236813,-0.1631960252072859
0.5007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.476903072465787,1.4894219090515417,-0.1637633690106165
0.6007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.4802170824096295,1.4897832154443882,-0.16404566089092684
0.7007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.4806880424398154,1.4894003570326486,-0.16541804398348262
0.8007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.4812683132143907,1.4888845993329216,-0.17078769550803
0.9007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.481979889223947,1.4875283884937722,-0.19721045562481035
1.0007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.4845909364487009,1.4874721504950408,-0.21134307849794387
1.1007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.486242573035868,1.4816842125831557,-0.24360181669399017
1.2007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.4844245481309972,1.485405286596307,-0.24265290467636763
1.3008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.484596623568168,1.4863868245350746,-0.2490357030077257
1.4007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.4853646069600548,1.4872295845894503,-0.26379115337815373
1.5007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.4877723441359845,1.4938696685420505,-0.2669759050122581
1.6008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.4880705676786226,1.4938552555681701,-0.28205170035497257
1.7007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.4892004882763326,1.4902152926333894,-0.2993887505996155
1.8007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.4879986576633333,1.4938538678424944,-0.296027308360028
