t,phase,cmd_v,cmd_w,applied_v,applied_w,wo_x,wo_y,wo_yaw,mb_x,mb_y,mb_yaw
0.3005,drive,0.0,0.1,nan,nan,nan,nan,nan,1.3254926038892656,0.10066104226961192,0.025976669816645502
0.3006,drive,0.0,0.1,nan,nan,nan,nan,nan,1.3254926038892656,0.10066104226961192,0.025976669816645502
0.4007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3255006864208547,0.10048450842721407,0.025947323427821533
0.5008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3252942048883762,0.10016777868881216,0.0256277321890448
0.6008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3253453448961943,0.09986946241638789,0.025665667059662316
0.7007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.326617088482026,0.10104155040797114,0.025187600961815743
0.8007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3272697801956497,0.10080961596617755,0.025240239444446803
0.9008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3272222933000206,0.10041931751009647,0.025437148966481186
1.0007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3268090549583873,0.09987220297097388,0.025613329270710198
1.1008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3254635625976248,0.10040688686062971,0.025872268007627014
1.2008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3251088106471247,0.10014422489709379,0.02613889971760213
1.3008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3250225189640272,0.10004885518643514,0.02612007629847353
1.4007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3250973211026946,0.09969664475959544,0.02610668538463306
1.5007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3257881953257198,0.1008050013804499,0.026614187398447037
1.6008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3250570525945677,0.09952992711665826,0.026105462623378636
1.7007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3238988970178662,0.10057905167816278,0.026246526846915454
1.8007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.325505261335313,0.10074814960394979,0.02602229499924606
1.9008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3255711811186424,0.09984541717983181,0.026134249536755073
2.0007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,1.3253487045592167,0.10000258481996732,0.02608236224811291
