t,phase,cmd_v,cmd_w,applied_v,applied_w,wo_x,wo_y,wo_yaw,mb_x,mb_y,mb_yaw
0.3004,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2797245817254794,-0.7397814635804689,0.13323613767920187
0.3006,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2797245817254794,-0.7397814635804689,0.13323613767920187
0.4008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2779848840326533,-0.7395023501879296,0.13358645419002896
0.5007,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2774761040380591,-0.740438358394861,0.13377109822924524
0.6007,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2783971636608398,-0.7405070455387671,0.13353423699964623
0.701,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2780542075422441,-0.7421292002344405,0.13328744945640905
0.8009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.27761396048231646,-0.7406492143504873,0.1337197760041824
0.9009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2783920757366518,-0.7403622303398045,0.13373058336288565
1.0008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2793528796776492,-0.7395979274364161,0.13310531298029118
1.1007,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2781198532575275,-0.7404635354800169,0.1334878741649335
1.2007,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2783703051714692,-0.7404538886641538,0.13359033793825528
1.3007,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.27891868727631364,-0.7406026693323563,0.13340463529977326
1.4009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2786967466299157,-0.7421946102377441,0.13343181675649166
1.5008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2780432840863978,-0.7410980374683867,0.1330522376150804
1.6007,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2773316927104612,-0.7416432553926678,0.133097687058039
1.7007,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2786321117032897,-0.7414708736958848,0.13332687011113356
1.8007,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2776894738879885,-0.7411399369245667,0.1335706912733799
1.9007,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.2789496514554908,-0.7409345866373479,0.1338479189516736
