t,phase,cmd_v,cmd_w,applied_v,applied_w,wo_x,wo_y,wo_yaw,mb_x,mb_y,mb_yaw
0.3004,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.09658758520315025,-0.03177358374136132,-1.5923821127921203
0.3005,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.09658758520315025,-0.03177358374136132,-1.5923821127921203
0.4007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09782471900520112,-0.03304829206300178,-1.591603620725444
0.5007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10025381673398565,-0.0334814905721193,-1.5913415164895377
0.6006,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09707860413114933,-0.03275746199915379,-1.5912237718704128
0.7007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09713565008243313,-0.03220676358847953,-1.5931592169928386
0.8007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10134257876355457,-0.03446310007184074,-1.6062704813552626
0.9007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.11571854770260448,-0.03668125750663015,-1.612237183823114
1.0007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.13933149528739358,-0.04174459303886505,-1.6285217759789088
1.1007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.145612622947624,-0.04090738014025448,-1.6366640809107686
1.2007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.1437716589922608,-0.04394665247971487,-1.6553524816111964
1.3008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.11101363330214903,-0.04260549993216561,-1.677933397165436
1.4007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.06524407212895844,-0.04035675664388256,-1.7223339045550603
1.5007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.06364295445357826,-0.042395463810831674,-1.731905726114507
1.6007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.06818473523898205,-0.04050253202612973,-1.738463558467407
1.7007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08035505542479365,-0.04413045822446786,-1.7540928612940645
1.8007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09110348658791279,-0.04519667066252838,-1.770441001387996
1.9007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0959490174937147,-0.04692468083458688,-1.7675550456723004
2.0007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09564390158738573,-0.048247936135459135,-1.7836605042710647
2.1008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09386662724092742,-0.04746365853684389,-1.7935098398884979
2.2007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09421915649568652,-0.04439404176986472,-1.800137628986854
2.3007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09933919599766816,-0.046051900931645094,-1.8175083071308413
2.4008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10251048755843112,-0.05086212274212128,-1.827481528478212
2.5007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.1065069485541757,-0.05189657813656626,-1.8413328083349367
2.6007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10494811519211944,-0.046441314390658704,-1.8461825164265213
2.7007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10292062696346604,-0.04515155967217671,-1.862393712543589
2.8007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.1057734907954821,-0.04481401285893647,-1.8629070385669186
2.9007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10493457591888228,-0.046423023726927304,-1.8804582862109738
3.0007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10325113464073088,-0.045359201913426364,-1.8968230186547783
3.1007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.1041564035331865,-0.04394908432649677,-1.913775039522841
3.2008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10369512029559569,-0.04438337572798012,-1.9136806474795633
3.3007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10227252132898018,-0.04552537990091181,-1.929304549825221
3.4007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09991412102662095,-0.04575414603946853,-1.945077828776034
3.5007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09747221556837249,-0.04621866263365593,-1.9592408627189248
3.6007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10190882510432975,-0.04764745400414419,-1.9577869900682807
3.7007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0997697904934598,-0.04593175794778483,-1.9762763666655727
3.8007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09705519007886215,-0.04696061502284241,-1.9930779848664042
3.9007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10373418522157207,-0.04718910080421783,-1.9953672151468618
4.0007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.1129884728017263,-0.046043218286154514,-2.0109370349538938
4.1007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.11112239800976376,-0.04244423728475763,-2.0222673577278045
4.2007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.11127240002830491,-0.03926016615166719,-2.022763515150292
4.3007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10990599416130004,-0.039106225861090485,-2.039966258647578
4.4007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10895172155739974,-0.041919018683266876,-2.055282063765772
4.5007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10673457067751058,-0.04183655100276248,-2.07598235705898
4.6008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10664026469596788,-0.040535987785350024,-2.075702607326557
4.7007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10456373267455799,-0.04119026628855865,-2.101241946139625
4.8007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.104824025170066,-0.04110125344333249,-2.1094479663085077
4.9007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10590624560552842,-0.037921500762400764,-2.122070678694437
5.0007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10812257427106375,-0.039337703797748654,-2.1222400211225367
5.1007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.11040300461186303,-0.03917605850645345,-2.1402931606045774
5.2007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.11027957650193537,-0.04007765751758436,-2.1364938227517167
