t,phase,cmd_v,cmd_w,applied_v,applied_w,wo_x,wo_y,wo_yaw,mb_x,mb_y,mb_yaw
0.3006,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12476630925819854,-0.2924911826341957,0.07874125361017263
0.3006,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12476630925819854,-0.2924911826341957,0.07874125361017263
0.4008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.1246911928410126,-0.2901444131918106,0.07809200777927638
0.5008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12418518049084848,-0.2903781143549553,0.07835786599885616
0.6008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.1231302883219687,-0.2911702976656504,0.07891144900428454
0.7008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12296246782209619,-0.29178658732573126,0.07910484188055167
0.8008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12456012364654145,-0.29124676584117826,0.07880371905063378
0.9008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12487460203179657,-0.29257504480593655,0.07900799296559004
1.0008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12495900748138222,-0.2914775644630738,0.07879139184016695
1.1008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.1253936545387413,-0.29276446102736586,0.07896779042996716
1.2008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12509426129793022,-0.29231281147342336,0.0790341493436821
1.3009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12400380844260672,-0.29326587956071215,0.07933371107764976
1.4008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12392123613484585,-0.29154615285568997,0.07812245926116711
1.5009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12362889811527822,-0.29130262635396975,0.07824629594471137
1.6008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12487866392824953,-0.2929633892898629,0.07876114360776591
1.7009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12469804420653818,-0.29105894177003844,0.07795881488526797
1.8008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12871437392040241,-0.299783385797458,0.07266766348785392
1.9008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12882357206196993,-0.29937262710651824,0.07274675357397073
2.0008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12757728083023068,-0.29923061585755983,0.07275884229978677
2.1008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12938148442290132,-0.2990387836063083,0.07305766838954506
2.2009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.1296871371415096,-0.2984431621693021,0.07260187974340573
2.3008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.1283055700396225,-0.29913149523831484,0.07272612700941089
2.4008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12751598988590285,-0.29902152700316276,0.072970646122228
2.5008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12770176666184674,-0.3001913793943126,0.0730026519667869
2.6009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.1285547829793443,-0.30036848776721803,0.0730158751854876
2.7008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12908913649169507,-0.3004983908861558,0.07328144065140045
2.8008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.127917497390879,-0.29815876179878653,0.07263890965109529
2.9009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12863193757399216,-0.29772098532862534,0.07277591551145841
3.0008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.127811860304764,-0.2991968999148502,0.07277138844226666
3.101,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12797313035725177,-0.29888550964632254,0.07290335752788211
3.2009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12762049701644096,-0.29788424002070746,0.0725668829675797
3.3009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12890346965989297,-0.2987019468778521,0.07259185296654734
3.4008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12843090817099356,-0.2986867824332625,0.07249316718764222
3.5008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.1273085947013619,-0.2992631342463635,0.07264639467008904
3.6008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12776721000326563,-0.300394490427919,0.07278543418381896
3.7008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12904489958693777,-0.29948449135750377,0.07262232304081633
3.8008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12952867881254115,-0.30011042881286887,0.0727746364815554
3.9008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.1290381728171497,-0.29800393151664195,0.07214383751382407
4.0008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12953577764145963,-0.29728452620268675,0.07228871511365274
4.1009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.13003495743354598,-0.2986718019044695,0.0729814440841175
4.2008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12893137445706127,-0.29915029944449123,0.07335413461830799
4.3008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12839553741347176,-0.297863609518232,0.07291485183686429
4.401,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12832375865941903,-0.29790104956380914,0.07258825571504068
4.5008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12782770389275777,-0.29931206939798227,0.07319764775459715
4.6008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.1271371946047115,-0.29884132179376877,0.07227308936223491
4.7008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.1275496510800993,-0.3000067495310128,0.07291852011560489
4.8008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.1268987345806314,-0.29939946400918926,0.07250183953608103
4.9009,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12776736863407523,-0.29884475034609326,0.07259179499605906
5.0008,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.12848125179243097,-0.2988466652376831,0.07240020986152601
