t,phase,cmd_v,cmd_w,applied_v,applied_w,wo_x,wo_y,wo_yaw,mb_x,mb_y,mb_yaw
0.3002,drive,0.0,-0.1,nan,nan,nan,nan,nan,-1.5298601088015489,1.4574529939241743,-1.5289136427804961
0.3003,drive,0.0,-0.1,nan,nan,nan,nan,nan,-1.5298601088015489,1.4574529939241743,-1.5289136427804961
0.4005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5306976782715667,1.4573736554812435,-1.528755174691508
0.5005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5305200132972332,1.4554490409077017,-1.5290797115844457
0.6005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5298507351828072,1.4559762057388548,-1.5293194234444354
0.7005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5309869314385471,1.455974624354779,-1.5358452156600069
0.8004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5330665977304296,1.4554040620014936,-1.5449830028282134
0.9004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5345862829143546,1.4553516884426185,-1.5592038213719703
1.0005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5380650982131192,1.4481565873713236,-1.59156249011005
1.1005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5378312810705692,1.4473383132926547,-1.6038714920495745
1.2005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.541605804636324,1.4472419495344773,-1.6158086370922573
1.3004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5424865009595872,1.4509857451979977,-1.6241430592459836
1.4004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5421868053693641,1.452502106872702,-1.6400595476941593
1.5005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5383375817007776,1.4501777502836701,-1.6422898432534265
1.6005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5356655296732418,1.4486856643629185,-1.6596704848150414
1.7005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5387028545916392,1.4490720751294477,-1.6658931422641823
1.8004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5367978471899242,1.4522119123241632,-1.6816311862665647
1.9005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.54316604138482,1.4581097705737953,-1.6883624204507754
2.0005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.544839646977337,1.458885850961601,-1.7038172288110234
2.1004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5463524996696463,1.4573440749276283,-1.715032617571821
2.2005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5477661101350777,1.455133178653402,-1.7279026884860713
2.3004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5486397003350723,1.4558814418410166,-1.7354830286091223
2.4005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5473443193941994,1.4602224919429607,-1.7507772564393496
2.5004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5445490048428996,1.4597630076404404,-1.7537664127319306
2.6004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5454385507853994,1.459684715662237,-1.777492054103894
2.7004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5460504089545806,1.4598898526298918,-1.782142549749495
2.8005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.550266854943169,1.4580308098401273,-1.7989388215472764
2.9004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5486976475171605,1.4603182099149479,-1.800151947680925
3.0004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.548092840272051,1.4622056955033462,-1.817133360857356
3.1005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.545593756273417,1.4610948012791716,-1.8294013618364944
3.2004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5493284859412246,1.4607580995322398,-1.8422578809346362
3.3005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.55154158807621,1.4590399708192834,-1.8480055581132677
3.4005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5501743650209436,1.459424883496071,-1.863462682139083
3.5004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5478500227596363,1.4638172438882502,-1.8764921208522944
3.6005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5455774129980633,1.4623184459775649,-1.8931574006861804
3.7004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.547216780143841,1.4611875662179987,-1.8986591637272556
3.8004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5506581245623483,1.4574620542607943,-1.9167183765387017
3.9005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5469584006652541,1.4596914984588412,-1.9164661126882936
4.0005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5443687496663037,1.4618692623937024,-1.933301659122765
4.1005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5442954671078843,1.4619795059191094,-1.9488495101707357
4.2004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5492342453672032,1.4615676715690422,-1.966861400196583
4.3004,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5503000517298726,1.462215959655559,-1.9688192381133902
4.4005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5503387568151132,1.4610531992518463,-1.9810969496640316
4.5005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.547452676660156,1.462535391073749,-1.9965421221939765
4.6005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.546865055194517,1.4649027115791549,-2.0133245345374653
4.7005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.548206582471966,1.4660948043754547,-2.0167069881790076
4.8005,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-1.5503221633601485,1.4648215277084775,-2.033102073339192
