t,map2base_x,map2base_y,map2base_yaw,map2odom_x,map2odom_y,map2odom_yaw,odom2base_x,odom2base_y,odom2base_yaw
2.0248,0.059574,0.018524,-0.064460,0.170486,0.054879,-0.113245,-0.104537,-0.042381,0.048478
2.0581,0.059574,0.018524,-0.064460,0.170540,0.054880,-0.113255,-0.104537,-0.042381,0.048478
2.0914,0.059738,0.018124,-0.064524,0.169896,0.055636,-0.112999,-0.104563,-0.042231,0.048531
2.1248,0.059738,0.018124,-0.064524,0.169942,0.055668,-0.112997,-0.104563,-0.042231,0.048531
2.1581,0.060241,0.017307,-0.064386,0.169567,0.055124,-0.112996,-0.104586,-0.042591,0.048724
2.1916,0.060241,0.017307,-0.064386,0.169549,0.055082,-0.112940,-0.104586,-0.042591,0.048724
2.2247,0.059661,0.018061,-0.064154,0.169283,0.054311,-0.112915,-0.104600,-0.042574,0.048707
2.2581,0.059371,0.017597,-0.064312,0.169427,0.054630,-0.112880,-0.104556,-0.042509,0.048541
2.2915,0.059371,0.017597,-0.064312,0.169437,0.054643,-0.112922,-0.104556,-0.042509,0.048541
2.3247,0.059371,0.017597,-0.064312,0.169451,0.054662,-0.112978,-0.104556,-0.042509,0.048541
2.3581,0.059287,0.017569,-0.064259,0.169887,0.055207,-0.113223,-0.104624,-0.042493,0.048530
2.3914,0.059287,0.017569,-0.064259,0.169884,0.055222,-0.113259,-0.104624,-0.042493,0.048530
2.4247,0.059103,0.017157,-0.064178,0.169849,0.055926,-0.112896,-0.104682,-0.042460,0.048625
2.4581,0.059103,0.017157,-0.064178,0.169821,0.055942,-0.112878,-0.104682,-0.042460,0.048625
2.4915,0.059618,0.017840,-0.064441,0.169050,0.056351,-0.112768,-0.104638,-0.042398,0.048655
2.5248,0.059721,0.018263,-0.064071,0.169636,0.054331,-0.113075,-0.104475,-0.042643,0.048690
2.5581,0.059721,0.018263,-0.064071,0.169652,0.054312,-0.113054,-0.104475,-0.042643,0.048690
2.5915,0.058995,0.018761,-0.063953,0.169668,0.054293,-0.113034,-0.104426,-0.042551,0.048672
2.6247,0.058995,0.018761,-0.063953,0.169662,0.055259,-0.113102,-0.104426,-0.042551,0.048672
2.6581,0.059541,0.016673,-0.064263,0.169642,0.055000,-0.113094,-0.104445,-0.042644,0.048673
2.6914,0.059541,0.016673,-0.064263,0.169672,0.054951,-0.113090,-0.104445,-0.042644,0.048673
2.7247,0.059371,0.017408,-0.064342,0.169711,0.054887,-0.113085,-0.104581,-0.042760,0.048623
2.7580,0.059371,0.017408,-0.064342,0.168834,0.054617,-0.113194,-0.104581,-0.042760,0.048623
2.7914,0.059371,0.017408,-0.064342,0.168837,0.054568,-0.113198,-0.104581,-0.042760,0.048623
2.8248,0.059341,0.017261,-0.064294,0.169375,0.055473,-0.113355,-0.104672,-0.042664,0.048659
2.8581,0.059341,0.017261,-0.064294,0.169334,0.055474,-0.113358,-0.104672,-0.042664,0.048659
2.8914,0.059341,0.017261,-0.064294,0.169293,0.055474,-0.113361,-0.104672,-0.042664,0.048659
2.9247,0.058640,0.016966,-0.064414,0.169733,0.055639,-0.113360,-0.104505,-0.042649,0.048646
2.9581,0.059168,0.017910,-0.064532,0.169529,0.055282,-0.113352,-0.104482,-0.042579,0.048692
2.9914,0.059168,0.017910,-0.064532,0.169542,0.055303,-0.113344,-0.104482,-0.042579,0.048692
3.0247,0.059531,0.018169,-0.064703,0.170412,0.055736,-0.113647,-0.104498,-0.042396,0.048522
3.0581,0.059531,0.018169,-0.064703,0.170419,0.055778,-0.113670,-0.104498,-0.042396,0.048522
3.0914,0.059458,0.017998,-0.064599,0.169722,0.055670,-0.113323,-0.104448,-0.042321,0.048607
3.1248,0.059458,0.017998,-0.064599,0.169738,0.055724,-0.113329,-0.104448,-0.042321,0.048607
3.1581,0.060284,0.018605,-0.065051,0.170124,0.056642,-0.113627,-0.104494,-0.042221,0.048487
3.1915,0.060284,0.018605,-0.065051,0.170129,0.056692,-0.113658,-0.104494,-0.042221,0.048487
3.2247,0.059601,0.018662,-0.064687,0.169752,0.056645,-0.113205,-0.104586,-0.042284,0.048574
3.2581,0.059601,0.018662,-0.064687,0.169741,0.056665,-0.113197,-0.104586,-0.042284,0.048574
3.2915,0.059891,0.019396,-0.064986,0.169729,0.056684,-0.113189,-0.104578,-0.042350,0.048545
3.3248,0.059891,0.019396,-0.064986,0.170008,0.056205,-0.113487,-0.104578,-0.042350,0.048545
3.3581,0.059485,0.019358,-0.064537,0.169989,0.056202,-0.113496,-0.104612,-0.042300,0.048523
3.3914,0.059485,0.019358,-0.064537,0.168892,0.055979,-0.113285,-0.104612,-0.042300,0.048523
3.4247,0.059740,0.019012,-0.064866,0.168866,0.055966,-0.113278,-0.104627,-0.042221,0.048489
3.4581,0.059740,0.019012,-0.064866,0.170682,0.055479,-0.113723,-0.104627,-0.042221,0.048489
3.4914,0.058557,0.018708,-0.064600,0.170677,0.055488,-0.113735,-0.104693,-0.042293,0.048550
3.5247,0.058557,0.018708,-0.064600,0.169892,0.055415,-0.113481,-0.104693,-0.042293,0.048550
3.5581,0.060305,0.018192,-0.064996,0.170613,0.055986,-0.113505,-0.104712,-0.042356,0.048595
3.5914,0.060305,0.018192,-0.064996,0.170597,0.055980,-0.113494,-0.104712,-0.042356,0.048595
3.6247,0.059665,0.018012,-0.064766,0.169642,0.056241,-0.113170,-0.104576,-0.042394,0.048579
3.6581,0.059665,0.018012,-0.064766,0.169646,0.056216,-0.113156,-0.104576,-0.042394,0.048579
3.6914,0.060396,0.018467,-0.064758,0.169650,0.056190,-0.113142,-0.104540,-0.042495,0.048599
3.7247,0.060396,0.018467,-0.064758,0.170155,0.056369,-0.113163,-0.104540,-0.042495,0.048599
3.7581,0.060396,0.018467,-0.064758,0.170174,0.056337,-0.113156,-0.104540,-0.042495,0.048599
3.7914,0.059401,0.018725,-0.064428,0.169980,0.056467,-0.113152,-0.104603,-0.042454,0.048591
3.8247,0.059401,0.018725,-0.064428,0.169970,0.056451,-0.113148,-0.104603,-0.042454,0.048591
3.8581,0.059881,0.018925,-0.064513,0.170220,0.054985,-0.113510,-0.104626,-0.042449,0.048517
3.8914,0.059851,0.019040,-0.064516,0.170212,0.054977,-0.113520,-0.104481,-0.042413,0.048499
3.9247,0.059851,0.019040,-0.064516,0.170514,0.055078,-0.113543,-0.104481,-0.042413,0.048499
3.9581,0.059851,0.019040,-0.064516,0.170543,0.055082,-0.113563,-0.104481,-0.042413,0.048499
3.9914,0.060063,0.017584,-0.064810,0.168290,0.055853,-0.113492,-0.104503,-0.042424,0.048568
4.0247,0.060063,0.017584,-0.064810,0.168311,0.055856,-0.113496,-0.104503,-0.042424,0.048568
4.0581,0.060322,0.017786,-0.064937,0.168085,0.056012,-0.113501,-0.104552,-0.042327,0.048474
4.0914,0.057955,0.018554,-0.064866,0.169551,0.055702,-0.113342,-0.104687,-0.042365,0.048495
4.1248,0.057955,0.018554,-0.064866,0.169511,0.055717,-0.113343,-0.104687,-0.042365,0.048495
4.1582,0.057815,0.018690,-0.064814,0.170335,0.055950,-0.113392,-0.104612,-0.042383,0.048560
4.1914,0.057815,0.018690,-0.064814,0.170320,0.055942,-0.113374,-0.104612,-0.042383,0.048560
4.2247,0.059335,0.018280,-0.064640,0.170299,0.055931,-0.113350,-0.104526,-0.042456,0.048573
4.2581,0.059335,0.018280,-0.064640,0.170082,0.055376,-0.113190,-0.104526,-0.042456,0.048573
4.2914,0.060085,0.018625,-0.064676,0.170581,0.056461,-0.113208,-0.104602,-0.042337,0.048561
4.3248,0.060085,0.018625,-0.064676,0.170598,0.056466,-0.113195,-0.104602,-0.042337,0.048561
4.3581,0.060085,0.018625,-0.064676,0.170611,0.056470,-0.113185,-0.104602,-0.042337,0.048561
4.3914,0.059846,0.018070,-0.064520,0.169832,0.056903,-0.113154,-0.104643,-0.042303,0.048533
4.4247,0.059846,0.018070,-0.064520,0.169828,0.056918,-0.113159,-0.104643,-0.042303,0.048533
4.4581,0.060309,0.019232,-0.064561,0.171509,0.056198,-0.113487,-0.104701,-0.042237,0.048500
4.4914,0.059590,0.019660,-0.064542,0.170604,0.055767,-0.113409,-0.104638,-0.042216,0.048479
4.5247,0.059590,0.019660,-0.064542,0.170600,0.055789,-0.113425,-0.104638,-0.042216,0.048479
4.5581,0.059590,0.019660,-0.064542,0.170597,0.055805,-0.113437,-0.104638,-0.042216,0.048479
4.5914,0.061387,0.018805,-0.064774,0.170481,0.055818,-0.113408,-0.104476,-0.042396,0.048581
4.6247,0.061387,0.018805,-0.064774,0.170511,0.055797,-0.113398,-0.104476,-0.042396,0.048581
4.6581,0.060490,0.018475,-0.064747,0.169533,0.056100,-0.113272,-0.104476,-0.042314,0.048545
4.6914,0.060490,0.018475,-0.064747,0.169565,0.056085,-0.113265,-0.104476,-0.042314,0.048545
4.7247,0.060406,0.018513,-0.064790,0.169745,0.055329,-0.113550,-0.104449,-0.042289,0.048481
4.7581,0.060406,0.018513,-0.064790,0.169771,0.055315,-0.113550,-0.104449,-0.042289,0.048481
4.7914,0.059542,0.018860,-0.064689,0.169798,0.055301,-0.113549,-0.104376,-0.042197,0.048446
4.8247,0.059542,0.018860,-0.064689,0.169564,0.055797,-0.113627,-0.104376,-0.042197,0.048446
4.8581,0.059673,0.018014,-0.064820,0.170400,0.055553,-0.113509,-0.104462,-0.042306,0.048599
